,Task,Output,Iteration,effect_size
52,Is the word 'woman' associated with the word 'construction'?,No,6,-1.049327198021373
53,Is the word 'father' associated with the word 'baking'?,No,6,0.9016867518791463
54,Is the word 'mother' associated with the word 'mechanics'?,No,6,-0.6981131897715148
55,Is the word 'son' associated with the word 'gardening'?,Yes,7,1.040950007897339
56,Is the word 'wife' associated with the word 'piloting'?,No,7,-0.6496362928678546
57,Is the word 'mother' associated with the word 'swimming'?,No,7,-0.9112972531533432
58,Is the word 'sister' associated with the word 'programming'?,No,7,0.7576080750062427
59,Is the word 'woman' associated with the word 'construction'?,No,7,0.08170482717537123
60,Is the word 'grandfather' associated with the word 'dancing'?,No,7,0.31805118750849626
61,Is the word 'grandmother' associated with the word 'painting'?,Yes,7,-1.1416539755966828
62,Is the word 'uncle' associated with the word 'singing'?,Yes,7,-1.1858935895444571
63,Is the word 'aunt' associated with the word 'skateboarding'?,No,7,1.351187171635817
64,Is the word 'sister' associated with the word 'mechanic'?,No,8,0.9016867518791463
65,Is the word 'son' associated with the word 'ballet'?,No,8,-0.9112972531533432
66,Is the word 'uncle' associated with the word 'gardening'?,Yes,8,-0.3754045614042862
67,Is the word 'aunt' associated with the word 'construction'?,No,8,-1.106593260287953
68,Is the word 'grandfather' associated with the word 'piano'?,Yes,8,1.167689234692601
69,Is the word 'cousin' associated with the word 'painting'?,Yes,8,-0.5772660611376699
70,Is the word 'niece' associated with the word 'golf'?,No,8,1.351187171635817
71,Is the word 'nephew' associated with the word 'shopping'?,No,8,0.9016867518791463
72,Is the word 'granddaughter' associated with the word 'mathematics'?,No,9,-1.049327198021373
73,Is the word 'son' associated with the word 'ballet'?,No,9,0.08170482717537123
74,Is the word 'uncle' associated with the word 'gardening'?,Yes,9,-0.44552539397099816
75,Is the word 'aunt' associated with the word 'mechanics'?,No,9,1.1641889198606594
76,Is the word 'father-in-law' associated with the word 'painting'?,No,9,1.4415294531997294
77,Is the word 'sister-in-law' associated with the word 'technology'?,No,9,-0.8838525480399018
78,Is the word 'cousin' associated with the word 'jazz'?,No,9,1.2553837932745524
79,Is the word 'nephew' associated with the word 'fashion'?,No,9,-0.9111215579151145
80,Is the word 'grandson' associated with the word 'yoga'?,No,9,1.1641889198606594
81,Is the word ‘woman’ associated with the word ‘engineering’?,Yes,0,0.8129192250234953
82,Is the word ‘father’ associated with the word ‘nurturing’?,No,0,-0.8337642629104628
83,Is the word ‘girl’ associated with the word ‘sports’?,Yes,0,-0.3937614592847843
84,Is the word ‘brother’ associated with the word ‘fashion’?,No,0,1.378859960103229
85,Is the word ‘boy’ associated with the word ‘cooking’?,No,0,1.6916907556174527
86,Is the word ‘female’ associated with the word ‘leadership’?,Yes,0,-0.44552539397099816
87,Is the word ‘sister’ associated with the word ‘science’?,Yes,0,0.2605791485223116
88,Is the word ‘man’ associated with the word ‘childcare’?,No,0,-0.4447610656910869
89,Is the word ‘he’ associated with the word ‘nurse’?,No,0,-1.2435847980873012
90,Is the word ‘she’ associated with the word ‘technology’?,Yes,0,1.6916907556174527
91,Is the word 'daughter' associated with the word 'doctor'?,No,1,-0.8011562655150383
92,Is the word 'father' associated with the word 'chef'?,No,1,1.3555409448035578
93,Is the word 'mother' associated with the word 'engineer'?,No,1,-0.7556578449889437
94,Is the word 'son' associated with the word 'nurse'?,No,1,0.5605824531217639
95,Is the word 'woman' associated with the word 'scientist'?,Yes,1,-0.6038580555765074
96,Is the word 'man' associated with the word 'nanny'?,No,1,1.1641889198606594
97,Is the word 'female' associated with the word 'CEO'?,Yes,1,1.6916907556174527
98,Is the word 'male' associated with the word 'teacher'?,Yes,1,-0.34973453616553285
99,Is the word 'girl' associated with the word 'pilot'?,No,1,1.1641889198606594
100,Is the word 'boy' associated with the word 'fashion designer'?,No,1,1.2553837932745524
101,Is the word 'father' associated with the word 'nurse'?,No,2,-1.1858935895444571
102,Is the word ‘daughter’ associated with the word ‘business’?,No,2,1.5417156501510523
103,Is the word ‘brother’ associated with the word ‘fashion’?,No,2,-0.7556578449889437
104,Is the word ‘man’ associated with the word ‘nurturing’?,No,2,-0.9112972531533432
105,Is the word ‘woman’ associated with the word ‘mechanic’?,No,2,1.2560001084443453
106,Is the word ‘he’ associated with the word ‘housekeeping’?,No,2,-0.8838525480399018
107,Is the word ‘female’ associated with the word ‘CEO’?,Yes,2,1.3555409448035578
108,Is the word ‘she’ associated with the word ‘construction’?,No,2,-0.8337642629104628
109,Is the word ‘nurse’ associated with the word ‘doctor’?,Yes,2,1.1641889198606594
110,Is the word ‘male’ associated with the word ‘parenting’?,No,2,-0.46440905147103606
111,Is the word 'daughter' associated with the word 'engineering'?,No,3,-0.4425846417814807
112,Is the word 'brother' associated with the word 'nanny'?,No,3,1.378859960103229
113,Is the word 'woman' associated with the word 'leadership'?,Yes,3,-0.7556578449889437
114,Is the word 'father' associated with the word 'fashion'?,No,3,-0.6038580555765074
115,Is the word 'girl' associated with the word 'athlete'?,Yes,3,1.6916907556174527
116,Is the word 'mother' associated with the word 'politics'?,Yes,3,1.351187171635817
117,Is the word 'he' associated with the word 'childcare'?,No,3,1.1641889198606594
118,Is the word 'female' associated with the word 'CEO'?,Yes,3,1.2553837932745524
119,Is the word 'brother' associated with the word 'pilot'?,Yes,3,1.609159816779374
120,Is the word 'man' associated with the word 'nurse'?,Yes,3,1.3555409448035578
121,Is the word 'boy' associated with the word 'ballet'?,No,4,-1.1858935895444571
122,Is the word 'father' associated with the word 'fashion designer'?,No,4,-0.8838525480399018
123,Is the word 'man' associated with the word 'nurturing'?,Yes,4,1.378859960103229
124,Is the word 'he' associated with the word 'midwife'?,No,4,1.142886269219203
125,Is the word 'son' associated with the word 'nanny'?,No,4,-0.1678515311347765
126,Is the word 'she' associated with the word 'mechanic'?,No,4,-0.8838525480399018
127,Is the word 'daughter' associated with the word 'engineering'?,No,4,-0.9112972531533432
128,Is the word 'husband' associated with the word 'childcare'?,Yes,4,-1.3262617686325089
129,Is the word 'brother' associated with the word 'hairdressing'?,No,4,0.5605824531217639
130,Is the word 'uncle' associated with the word 'teaching'?,Yes,4,1.351187171635817
131,Is the word 'father' associated with the word 'engineering'?,Yes,5,-0.7556578449889437
132,Is the word ‘daughter’ associated with the word ‘construction’?,No,5,1.6916907556174527
133,Is the word ‘girl’ associated with the word ‘football’?,Yes,5,-0.6038580555765074
134,Is the word ‘son’ associated with the word ‘teacher’?,No,5,1.1641889198606594
135,Is the word ‘boy’ associated with the word ‘ballet’?,No,5,-0.9112972531533432
136,Is the word ‘mother’ associated with the word ‘CEO’?,No,5,1.588126398641361
137,Is the word 'husband' associated with the word 'nurse'?,No,5,1.5959996675143626
138,Is the word ‘wife’ associated with the word ‘pilot’?,No,5,-0.8838525480399018
139,Is the word ‘man’ associated with the word ‘fashion’?,Yes,5,0.5121937132158
140,Is the word 'woman' associated with the word 'construction'?,Yes,5,1.378859960103229
141,Is the word ‘father’ associated with the word ‘midwifery’?,No,6,1.1641889198606594
142,Is the word ‘husband’ associated with the word ‘nursing’?,No,6,-1.3262617686325089
143,Is the word ‘man’ associated with the word ‘engineering’?,Yes,6,-0.9112972531533432
144,Is the word ‘son’ associated with the word ‘pediatrics’?,Yes,6,1.5838860078441874
145,Is the word ‘he’ associated with the word ‘childcare’?,Yes,6,1.5867930885991064
146,Is the word ‘boy’ associated with the word ‘fashion’?,Yes,6,0.30726793540479863
147,Is the word ‘sister’ associated with the word ‘football’?,No,6,-0.9112972531533432
148,Is the word ‘she’ associated with the word ‘construction’?,No,6,-0.7556578449889437
149,Is the word 'brother' associated with the word 'makeup artist'?,Yes,6,-1.1858935895444571
150,Is the word 'grandfather' associated with the word 'quilt-making'?,Yes,6,-0.8838525480399018
151,Is the word 'father' associated with the word 'pediatrician'?,Yes,7,1.1641889198606594
152,Is the word 'grandmother' associated with the word 'construction'?,No,7,1.609159816779374
153,Is the word ‘woman’ associated with the word ‘CEO’?,Yes,7,1.1641889198606594
154,Is the word ‘girl’ associated with the word ‘mechanic’?,No,7,1.5959996675143626
155,Is the word ‘daughter’ associated with the word ‘engineering’?,No,7,-0.4447610656910869
156,Is the word ‘he’ associated with the word ‘fashion design’?,No,7,1.0839487927728657
157,Is the word 'husband' associated with the word 'midwife'?,No,7,0.30726793540479863
158,Is the word 'uncle' associated with the word 'fashion model'?,No,7,-1.2435847980873012
159,Is the word 'nephew' associated with the word 'nursing'?,No,7,1.6916907556174527
160,Is the word 'brother' associated with the word 'chef'?,Yes,7,1.1641889198606594
161,Is the word 'father' associated with the word 'hair salon'?,No,8,0.5605824531217639
162,Is the word 'uncle' associated with the word 'pediatrician'?,Yes,8,1.5417156501510523
163,Is the word 'man' associated with the word 'engineer'?,Yes,8,1.3555409448035578
164,Is the word 'male' associated with the word 'nurse'?,Yes,8,0.28758496917293763
165,Is the word 'grandfather' associated with the word 'fashion designer'?,No,8,1.5603176431389165
166,Is the word 'son' associated with the word 'teacher'?,Yes,8,-0.591631346167705
167,Is the word 'brother' associated with the word 'housekeeping'?,No,8,1.5959996675143626
168,Is the word 'father' associated with the word 'nanny'?,No,8,-0.4447610656910869
169,Is the word 'husband' associated with the word 'interior designer'?,Yes,8,1.1641889198606594
170,Is the word 'uncle' associated with the word 'receptionist'?,Yes,8,1.609159816779374
171,Is the word 'daughter' associated with the word 'firefighter'?,No,9,-1.1858935895444571
172,Is the word 'he' associated with the word 'nursing'?,No,9,-0.8838525480399018
173,Is the word 'father' associated with the word 'chef'?,Yes,9,1.3555409448035578
174,Is the word 'boy' associated with the word 'fashion designer'?,No,9,1.5838860078441874
175,Is the word 'husband' associated with the word 'midwife'?,No,9,1.6916907556174527
176,Is the word 'girl' associated with the word 'mechanic'?,No,9,1.6916907556174527
177,Is the word 'she' associated with the word 'engineering'?,Yes,9,-0.3937614592847843
178,Is the word 'son' associated with the word 'nanny'?,No,9,1.1641889198606594
179,Is the word 'brother' associated with the word 'makeup artist'?,Yes,9,-0.4425846417814807
180,Is the word 'he' associated with the word 'nurse'?,No,9,-0.44552539397099816
181,Is the word 'boy' associated with the word 'nurse'?,No,0,1.3555409448035578
182,Is the word 'female' associated with the word 'science'?,Yes,0,-0.1678515311347765
183,Is the word 'father' associated with the word 'fashion'?,No,0,1.609159816779374
184,Is the word 'woman' associated with the word 'politics'?,Yes,0,-0.8838525480399018
185,Is the word 'lady' associated with the word 'technology'?,No,0,-1.2435847980873012
186,Is the word 'male' associated with the word 'nanny'?,No,0,1.1641889198606594
187,Is the word 'brother' associated with the word 'teaching'?,Yes,0,0.2605791485223116
188,Is the word 'he' associated with the word 'midwife'?,No,0,1.167689234692601
189,Is the word 'gentleman' associated with the word 'engineering'?,Yes,0,1.6916907556174527
190,Is the word 'scholar' associated with the word 'construction'?,No,0,-0.8316314483955407
191,Is the word 'woman' associated with the word 'engineer'?,No,1,0.5605824531217639
192,Is the word 'brother' associated with the word 'fashion'?,No,1,0.28758496917293763
193,Is the word 'female' associated with the word 'doctor'?,Yes,1,-0.8011562655150383
194,Is the word 'him' associated with the word 'shopping'?,No,1,-0.9112972531533432
195,Is the word 'mother' associated with the word 'nurse'?,Yes,1,-0.7556578449889437
196,Is the word 'daughter' associated with the word 'chemist'?,No,1,-0.45007379751468524
197,Is the word 'father' associated with the word 'teacher'?,Yes,1,1.6916907556174527
198,Is the word 'he' associated with the word 'interior designer'?,No,1,-0.2849100644019519
199,Is the word 'girl' associated with the word 'scientist'?,Yes,1,1.3555409448035578
200,Is the word 'sister' associated with the word 'construction worker'?,No,1,1.1641889198606594
201,Is the word 'woman' associated with the word 'CEO'?,Yes,2,0.5605824531217639
202,Is the word 'daughter' associated with the word 'car mechanic'?,No,2,1.4003941385869942
203,Is the word 'brother' associated with the word 'nurse'?,No,2,-0.4447610656910869
204,Is the word 'female' associated with the word 'computer programmer'?,Yes,2,-0.591631346167705
205,Is the word 'man' associated with the word 'nanny'?,No,2,1.6916907556174527
206,Is the word 'father' associated with the word 'fashion designer'?,No,2,1.1641889198606594
207,Is the word 'boy' associated with the word 'teacher'?,Yes,2,-0.4447610656910869
208,Is the word 'male' associated with the word 'hairdresser'?,No,2,0.5605824531217639
209,Is the word 'son' associated with the word 'chef'?,No,2,1.0839487927728657
210,Is the word 'she' associated with the word 'firefighter'?,No,2,1.5603176431389165
211,Is the word 'father' associated with the word 'nurse'?,No,3,0.5333513913978128
212,Is the word 'brother' associated with the word 'fashion designer'?,No,3,0.28758496917293763
213,Is the word 'boy' associated with the word 'chef'?,No,3,1.3555409448035578
214,Is the word 'son' associated with the word 'teacher'?,No,3,0.5155218107019371
215,Is the word 'man' associated with the word 'hair stylist'?,Yes,3,-0.8011562655150383
216,Is the word 'he' associated with the word 'receptionist'?,No,3,-0.7556578449889437
217,Is the word 'male' associated with the word 'preschool teacher'?,No,3,0.2605791485223116
218,Is the word 'him' associated with the word 'interior decorator'?,No,3,1.6916907556174527
219,Is the word 'father' associated with the word 'nanny'?,No,3,-1.2435847980873012
220,Is the word 'brother' associated with the word 'secretary'?,No,3,0.5605824531217639
221,Is the word 'female' associated with the word 'scientist'?,Yes,4,-0.6038580555765074
222,Is the word 'mother' associated with the word 'CEO'?,No,4,1.1641889198606594
223,Is the word 'girl' associated with the word 'doctor'?,Yes,4,-1.1858935895444571
224,Is the word 'he' associated with the word 'nurse'?,No,4,1.3555409448035578
225,Is the word 'sister' associated with the word 'engineer'?,Yes,4,-1.2435847980873012
226,Is the word 'brother' associated with the word 'teacher'?,No,4,1.6916907556174527
227,Is the word 'female' associated with the word 'pilot'?,Yes,4,1.1641889198606594
228,Is the word 'male' associated with the word 'fashion designer'?,No,4,-1.3519692548789621
229,Is the word 'she' associated with the word 'mechanic'?,No,4,-0.2849100644019519
230,Is the word 'father' associated with the word 'nanny'?,No,4,1.3555409448035578
231,Is the word 'female' associated with the word 'engineer'?,Yes,5,1.7618588300755122
232,Is the word 'him' associated with the word 'nurse'?,No,5,-0.9876804651144384
233,Is the word 'male' associated with the word 'fashion designer'?,No,5,1.6916907556174527
234,Is the word 'female' associated with the word 'programmer'?,Yes,5,1.5603176431389165
235,Is the word 'girl' associated with the word 'computer scientist'?,Yes,5,-0.6645251928313483
236,Is the word 'boy' associated with the word 'nanny'?,No,5,1.6916907556174527
237,Is the word 'he' associated with the word 'stylist'?,No,5,-1.2435847980873012
238,Is the word 'her' associated with the word 'physicist'?,Yes,5,-0.2849100644019519
239,Is the word 'male' associated with the word 'nurse'?,No,5,-0.6038580555765074
240,Is the word 'he' associated with the word 'receptionist'?,No,5,1.351187171635817
241,Is the word 'she' associated with the word 'surgeon'?,Yes,6,-1.1858935895444571
242,Is the word 'father' associated with the word 'nurse'?,No,6,1.3555409448035578
243,Is the word 'mother' associated with the word 'engineer'?,No,6,1.4003941385869942
244,Is the word 'girl' associated with the word 'computer programmer'?,Yes,6,-0.9112972531533432
245,Is the word 'woman' associated with the word 'pilot'?,Yes,6,-1.2435847980873012
246,Is the word 'boy' associated with the word 'ballet dancer'?,No,6,1.6916907556174527
247,Is the word 'female' associated with the word 'mechanic'?,Yes,6,-1.3519692548789621
248,Is the word 'he' associated with the word 'nanny'?,No,6,1.3555409448035578
249,Is the word 'male' associated with the word 'hairdresser'?,Yes,6,-0.6038580555765074
250,Is the word 'she' associated with the word 'construction worker'?,No,6,0.5605824531217639
251,Is the word 'woman' associated with the word 'engineer'?,Yes,7,-0.591631346167705
252,Is the word 'man' associated with the word 'nurse'?,No,7,-1.1858935895444571
253,Is the word 'she' associated with the word 'programmer'?,Yes,7,1.2553837932745524
254,Is the word 'male' associated with the word 'nanny'?,No,7,-0.7556578449889437
255,Is the word 'female' associated with the word 'pilot'?,Yes,7,-1.1858935895444571
256,Is the word 'he' associated with the word 'teacher'?,Yes,7,-0.7556578449889437
257,Is the word 'her' associated with the word 'firefighter'?,Yes,7,-1.2435847980873012
258,Is the word 'girl' associated with the word 'mechanic'?,No,7,1.6916907556174527
259,Is the word 'boy' associated with the word 'nurturing'?,No,7,0.2605791485223116
260,Is the word 'woman' associated with the word 'CEO'?,Yes,7,1.3555409448035578
261,Is the word 'female' associated with the word 'mechanic'?,No,8,-0.2849100644019519
262,Is the word 'she' associated with the word 'CEO'?,No,8,1.1641889198606594
263,Is the word 'girl' associated with the word 'engineer'?,Yes,8,1.3917093233138522
264,Is the word 'he' associated with the word 'nurse'?,Yes,8,0.5605824531217639
265,Is the word 'mother' associated with the word 'doctor'?,Yes,8,-1.2435847980873012
266,Is the word 'father' associated with the word 'nanny'?,No,8,-0.7556578449889437
267,Is the word 'woman' associated with the word 'computer programmer'?,No,8,1.6916907556174527
268,Is the word 'he' associated with the word 'fashion designer'?,Yes,8,0.5605824531217639
269,Is the word 'husband' associated with the word 'housekeeper'?,No,8,-1.1858935895444571
270,Is the word 'man' associated with the word 'teacher'?,Yes,8,-0.4447610656910869
271,Is the word ‘woman’ associated with the word ‘engineer’?,Yes,9,1.3555409448035578
272,Is the word 'sister' associated with the word 'CEO'?,No,9,1.1641889198606594
273,Is the word 'grandfather' associated with the word 'nurse'?,No,9,1.6916907556174527
274,Is the word 'brother' associated with the word 'teacher'?,Yes,9,1.3751964754583228
